seq,file_name,title_ja,source,width,height,status,date_year,date_month,date_day
168,168-mudai-1916-0918,168. 〔無題〕大正五年九月十八日,,,,,1916,1916-09,1916-09-18
169,169-mudai-1916-0919,169. 〔無題〕大正五年九月十九日,,,,,1916,1916-09,1916-09-19
170,170-mudai-1916-0920,170. 〔無題〕大正五年九月二十日,,,,,1916,1916-09,1916-09-20
171,171-mudai-1916-0922,171. 〔無題〕大正五年九月二十二日,,,,,1916,1916-09,1916-09-22
172,172-mudai-1916-0923-a,172. 〔無題〕大正五年九月二十三日,,,,,1916,1916-09,1916-09-23
173,173-mudai-1916-0923-b,173. 〔無題〕大正五年九月二十三日,,,,,1916,1916-09,1916-09-23
174,174-mudai-1916-0924,174. 〔無題〕大正五年九月二十四日,,,,,1916,1916-09,1916-09-24
175,175-mudai-1916-0925,175. 〔無題〕大正五年九月二十五日,,,,,1916,1916-09,1916-09-25
176,176-mudai-1916-0926,176. 〔無題〕大正五年九月二十六日,,,,,1916,1916-09,1916-09-26
177,177-mudai-1916-0927,177. 〔無題〕大正五年九月二十七日,,,,,1916,1916-09,1916-09-27
178,178-mudai-1916-0929,178. 〔無題〕大正五年九月二十九日,,,,,1916,1916-09,1916-09-29
179,179-mudai-1916-0930,179. 〔無題〕大正五年九月三十日,,,,,1916,1916-09,1916-09-30
180,180-mudai-1916-1001,180. 〔無題〕大正五年十月一日,,,,,1916,1916-10,1916-10-01
181,181-mudai-1916-1002,181. 〔無題〕大正五年十月二日,,,,,1916,1916-10,1916-10-02
182,182-mudai-1916-1003,182. 〔無題〕大正五年十月三日,,,,,1916,1916-10,1916-10-03
183,183-mudai-1916-1004,183. 〔無題〕大正五年十月四日,,,,,1916,1916-10,1916-10-04
184,184-mudai-1916-1006,184. 〔無題〕大正五年十月六日,,,,,1916,1916-10,1916-10-06
185,185-mudai-1916-1007,185. 〔無題〕大正五年十月七日,,,,,1916,1916-10,1916-10-07
186,186-mudai-1916-1008,186. 〔無題〕大正五年十月八日,,,,,1916,1916-10,1916-10-08
187,187-mudai-1916-1009,187. 〔無題〕大正五年十月九日,,,,,1916,1916-10,1916-10-09
188,188-mudai-1916-1010,188. 〔無題〕大正五年十月十日,,,,,1916,1916-10,1916-10-10
189,189-mudai-1916-1011,189. 〔無題〕大正五年十月十一日,,,,,1916,1916-10,1916-10-11
190,190-mudai-1916-1012,190. 〔無題〕大正五年十月十二日,,,,,1916,1916-10,1916-10-12
191,191-mudai-1916-1015,191. 〔無題〕大正五年十月十五日,,,,,1916,1916-10,1916-10-15
192,192-mudai-1916-1016,192. 〔無題〕大正五年十月十六日,,,,,1916,1916-10,1916-10-16
193,193-mudai-1916-1017,193. 〔無題〕大正五年十月十七日,,,,,1916,1916-10,1916-10-17
194,194-mudai-1916-1018,194. 〔無題〕大正五年十月十八日,,,,,1916,1916-10,1916-10-18
195,195-mudai-1916-1019,195. 〔無題〕大正五年十月十九日,,,,,1916,1916-10,1916-10-19
196,196-mudai-1916-1020,196. 〔無題〕大正五年十月二十日,,,,,1916,1916-10,1916-10-20
197,197-mudai-1916-1021,197. 〔無題〕大正五年十月二十一日,,,,,1916,1916-10,1916-10-21
198,198-mudai-3shu-1021-01,198. 〔無題三首·其一〕大正五年十月二十一日,,,,,1916,1916-10,1916-10-21
199,199-mudai-3shu-1021-02,199. 〔無題三首·其二〕大正五年十月二十一日,,,,,1916,1916-10,1916-10-21
200,200-mudai-3shu-1021-03,200. 〔無題三首·其三〕大正五年十月二十一日,,,,,1916,1916-10,1916-10-21
201,201-mudai-3shu-1022-01,201. 〔無題三首·其一〕大正五年十月二十二日,,,,,1916,1916-10,1916-10-22
202,202-mudai-3shu-1022-02,202. 〔無題三首·其二〕大正五年十月二十二日,,,,,1916,1916-10,1916-10-22
203,203-mudai-3shu-1022-03,203. 〔無題三首·其三〕大正五年十月二十二日,,,,,1916,1916-10,1916-10-22
204,204-gensei-zennin-bokuchiku,204. 元成禅人、自德源大会回鉢到余家、淹留旬日。臨去需余画。余為禅人作墨竹三竿、併題詩以贈大正五年十月三十一日,,,,,1916,1916-10,1916-10-31
205,205-keido-zennin-matsu,205. 丙辰十月、余為元成禅人作墨竹。越一日、見壁間所挂図、興忽発。乃為珪堂禅人抽毫作松一株、配以石二三。不知禅人受余贈否也。,,,,,1916,1916-10,
206,206-mudai-1916-1113,206. 〔無題〕大正五年十一月十三日,,,,,1916,1916-11,1916-11-13
207,207-mudai-1916-1119,207. 〔無題〕大正五年十一月十九日,,,,,1916,1916-11,1916-11-19
208,208-mudai-1916-1120-yoru,208. 〔無題〕大正五年十一月二十日夜,,,,,1916,1916-11,1916-11-20
209,209-mitei-01,209. 未定稿一,,,,,,,
210,210-mitei-02,210. 未定稿二,,,,,,,
211,211-mitei-03,211. 未定稿三,,,,,,,
212,212-mitei-04,212. 未定稿四,,,,,,,
213,213-mitei-05,213. 未定稿五,,,,,,,
214,214-mitei-06,214. 未定稿六,,,,,,,
215,215-mitei-07,215. 未定稿七,,,,,,,
216,216-mitei-08,216. 未定稿八,,,,,,,
